COD. UF;UF;pop_2010;pop_2022;crescimento;crescimento_pct
35;SP;41262199.0;44411238.0;3149039.0;7.63
42;SC;6248436.0;7610361.0;1361925.0;21.8
52;GO;6001789.0;7056495.0;1054706.0;17.57
41;PR;10444526.0;11444380.0;999854.0;9.57
31;MG;19597330.0;20539989.0;942659.0;4.81
51;MT;3035122.0;3658649.0;623527.0;20.54
15;PA;7581051.0;8120131.0;539080.0;7.11
13;AM;3483985.0;3941613.0;457628.0;13.14
23;CE;8451644.0;8794957.0;343313.0;4.06
32;ES;3514952.0;3833712.0;318760.0;9.07
50;MS;2449024.0;2757013.0;307989.0;12.58
26;PE;8796055.0;9058931.0;262876.0;2.99
53;DF;2572159.0;2817381.0;245222.0;9.53
25;PB;3766528.0;3974687.0;208159.0;5.53
21;MA;6574789.0;6776699.0;201910.0;3.07
43;RS;10693929.0;10882965.0;189036.0;1.77
14;RR;450479.0;636707.0;186228.0;41.34
22;PI;3119097.0;3271199.0;152102.0;4.88
28;SE;2067852.0;2210004.0;142152.0;6.87
24;RN;3168027.0;3302729.0;134702.0;4.25
17;TO;1383445.0;1511460.0;128015.0;9.25
29;BA;14017071.0;14141626.0;124555.0;0.89
12;AC;733559.0;830018.0;96459.0;13.15
33;RJ;15989929.0;16055174.0;65245.0;0.41
16;AP;669526.0;733759.0;64233.0;9.59
11;RO;1562409.0;1581196.0;18787.0;1.2
27;AL;3120887.0;3127683.0;6796.0;0.22
