Sigla,Código,Estado,Desocupados - homens (2026 T1),Desocupados - mulheres (2026 T1)
AC,12,Acre,"53,2","46,8"
AL,27,Alagoas,"50,7","49,3"
AM,13,Amazonas,"46,8","53,2"
AP,16,Amapá,"51,1","48,9"
BA,29,Bahia,"44,7","55,3"
CE,23,Ceará,"52,7","47,3"
DF,53,Distrito Federal,"47,9","52,1"
ES,32,Espírito Santo,"47,5","52,5"
GO,52,Goiás,"47,5","52,5"
MA,21,Maranhão,"49,1","50,9"
MG,31,Minas Gerais,"48,6","51,4"
MS,50,Mato Grosso do Sul,"45,3","54,7"
MT,51,Mato Grosso,"42,8","57,2"
PA,15,Pará,"48,3","51,7"
PB,25,Paraíba,"48,9","51,1"
PE,26,Pernambuco,"48,7","51,3"
PI,22,Piauí,"55,1","44,9"
PR,41,Paraná,"46,3","53,7"
RJ,33,Rio de Janeiro,"45,4","54,6"
RN,24,Rio Grande do Norte,"48,2","51,8"
RO,11,Rondônia,33,67
RR,14,Roraima,"43,4","56,6"
RS,43,Rio Grande do Sul,"47,4","52,6"
SC,42,Santa Catarina,"44,6","55,4"
SE,28,Sergipe,"40,3","59,7"
SP,35,São Paulo,"46,2","53,8"
TO,17,Tocantins,"46,2","53,8"
